"Année de naissance";"Sexe";"Age";"Quotient de mortalité par âge x (Qx)"
"1900";"Homme";"65 ans";0.031952
"1900";"Homme";"66 ans";0.033583
"1900";"Homme";"67 ans";0.036676
"1900";"Homme";"68 ans";0.040693
"1900";"Homme";"69 ans";0.043664
"1900";"Homme";"70 ans";0.045013
"1900";"Homme";"71 ans";0.052206
"1900";"Homme";"72 ans";0.051739
"1900";"Homme";"73 ans";0.054964
"1900";"Homme";"74 ans";0.058334
"1900";"Homme";"75 ans";0.065500
"1900";"Homme";"76 ans";0.072393
"1900";"Homme";"77 ans";0.073701
"1900";"Homme";"78 ans";0.078885
"1900";"Homme";"79 ans";0.089416
"1900";"Homme";"80 ans";0.101778
"1900";"Homme";"81 ans";0.102510
"1900";"Homme";"82 ans";0.112759
"1900";"Homme";"83 ans";0.118205
"1900";"Homme";"84 ans";0.124978
"1900";"Homme";"85 ans";0.140789
"1900";"Homme";"86 ans";0.139714
"1900";"Homme";"87 ans";0.153548
"1900";"Homme";"88 ans";0.171582
"1900";"Homme";"89 ans";0.214070
"1900";"Homme";"90 ans";0.203191
"1900";"Homme";"91 ans";0.213704
"1900";"Homme";"92 ans";0.230623
"1900";"Homme";"93 ans";0.269563
"1900";"Homme";"94 ans";0.259695
"1900";"Homme";"95 ans";0.278570
"1900";"Homme";"96 ans";0.294347
"1900";"Homme";"97 ans";0.283420
"1900";"Homme";"98 ans";0.285511
"1900";"Homme";"99 ans";0.319792
"1900";"Homme";"100 ans";0.390996
"1900";"Homme";"101 ans";0.342857
"1900";"Homme";"102 ans";0.608696
"1900";"Homme";"103 ans";0.666667
"1900";"Homme";"104 ans";0.333333
"1900";"Homme";"105 ans";0.000000
"1900";"Homme";"106 ans";0.000000
"1900";"Homme";"107 ans";0.000000
"1900";"Homme";"108 ans";0.000000
"1900";"Homme";"109 ans";0.000000
"1900";"Homme";"110 ans";0.000000
"1900";"Homme";"111 ans";1.000000
"1900";"Homme";"112 ans";1.000000
"1900";"Homme";"113 ans";1.000000
"1900";"Homme";"114 ans";1.000000
"1900";"Homme";"115 ans";1.000000
"1900";"Homme";"116 ans";1.000000
"1900";"Homme";"117 ans";1.000000
"1900";"Homme";"118 ans";1.000000
"1900";"Homme";"119 ans";1.000000
"1900";"Homme";"120 ans";1.000000
"1901";"Homme";"65 ans";0.029003
"1901";"Homme";"66 ans";0.034395
"1901";"Homme";"67 ans";0.034439
"1901";"Homme";"68 ans";0.039484
"1901";"Homme";"69 ans";0.040247
"1901";"Homme";"70 ans";0.040334
"1901";"Homme";"71 ans";0.045781
"1901";"Homme";"72 ans";0.049581
"1901";"Homme";"73 ans";0.055592
"1901";"Homme";"74 ans";0.060539
"1901";"Homme";"75 ans";0.062657
"1901";"Homme";"76 ans";0.068676
"1901";"Homme";"77 ans";0.071671
"1901";"Homme";"78 ans";0.079590
"1901";"Homme";"79 ans";0.088278
"1901";"Homme";"80 ans";0.091858
"1901";"Homme";"81 ans";0.109086
"1901";"Homme";"82 ans";0.111945
"1901";"Homme";"83 ans";0.120992
"1901";"Homme";"84 ans";0.126507
"1901";"Homme";"85 ans";0.135063
"1901";"Homme";"86 ans";0.140648
"1901";"Homme";"87 ans";0.159790
"1901";"Homme";"88 ans";0.192338
"1901";"Homme";"89 ans";0.193701
"1901";"Homme";"90 ans";0.203791
"1901";"Homme";"91 ans";0.232696
"1901";"Homme";"92 ans";0.249427
"1901";"Homme";"93 ans";0.262463
"1901";"Homme";"94 ans";0.276917
"1901";"Homme";"95 ans";0.306814
"1901";"Homme";"96 ans";0.299456
"1901";"Homme";"97 ans";0.292404
"1901";"Homme";"98 ans";0.369428
"1901";"Homme";"99 ans";0.302863
"1901";"Homme";"100 ans";0.333333
"1901";"Homme";"101 ans";0.437500
"1901";"Homme";"102 ans";0.444444
"1901";"Homme";"103 ans";0.600000
"1901";"Homme";"104 ans";0.666667
"1901";"Homme";"105 ans";1.000000
"1901";"Homme";"106 ans";1.000000
"1901";"Homme";"107 ans";1.000000
"1901";"Homme";"108 ans";1.000000
"1901";"Homme";"109 ans";1.000000
"1901";"Homme";"110 ans";1.000000
"1901";"Homme";"111 ans";1.000000
"1901";"Homme";"112 ans";1.000000
"1901";"Homme";"113 ans";1.000000
"1901";"Homme";"114 ans";1.000000
"1901";"Homme";"115 ans";1.000000
"1901";"Homme";"116 ans";1.000000
"1901";"Homme";"117 ans";1.000000
"1901";"Homme";"118 ans";1.000000
"1901";"Homme";"119 ans";1.000000
"1901";"Homme";"120 ans";1.000000
"1902";"Homme";"65 ans";0.029145
"1902";"Homme";"66 ans";0.032932
"1902";"Homme";"67 ans";0.034911
"1902";"Homme";"68 ans";0.037484
"1902";"Homme";"69 ans";0.040721
"1902";"Homme";"70 ans";0.043110
"1902";"Homme";"71 ans";0.047781
"1902";"Homme";"72 ans";0.048747
"1902";"Homme";"73 ans";0.052778
"1902";"Homme";"74 ans";0.057193
"1902";"Homme";"75 ans";0.061081
"1902";"Homme";"76 ans";0.070069
"1902";"Homme";"77 ans";0.070224
"1902";"Homme";"78 ans";0.077822
"1902";"Homme";"79 ans";0.089130
"1902";"Homme";"80 ans";0.095715
"1902";"Homme";"81 ans";0.098805
"1902";"Homme";"82 ans";0.101136
"1902";"Homme";"83 ans";0.119378
"1902";"Homme";"84 ans";0.120371
"1902";"Homme";"85 ans";0.135691
"1902";"Homme";"86 ans";0.144300
"1902";"Homme";"87 ans";0.182728
"1902";"Homme";"88 ans";0.171404
"1902";"Homme";"89 ans";0.184188
"1902";"Homme";"90 ans";0.192320
"1902";"Homme";"91 ans";0.207078
"1902";"Homme";"92 ans";0.232693
"1902";"Homme";"93 ans";0.276102
"1902";"Homme";"94 ans";0.290329
"1902";"Homme";"95 ans";0.262926
"1902";"Homme";"96 ans";0.354433
"1902";"Homme";"97 ans";0.311043
"1902";"Homme";"98 ans";0.318813
"1902";"Homme";"99 ans";0.376923
"1902";"Homme";"100 ans";0.469136
"1902";"Homme";"101 ans";0.279070
"1902";"Homme";"102 ans";0.354839
"1902";"Homme";"103 ans";0.350000
"1902";"Homme";"104 ans";0.538462
"1902";"Homme";"105 ans";0.500000
"1902";"Homme";"106 ans";0.000000
"1902";"Homme";"107 ans";0.000000
"1902";"Homme";"108 ans";0.333333
"1902";"Homme";"109 ans";0.500000
"1902";"Homme";"110 ans";0.000000
"1902";"Homme";"111 ans";0.000000
"1902";"Homme";"112 ans";0.000000
"1902";"Homme";"113 ans";0.000000
"1902";"Homme";"114 ans";0.000000
"1902";"Homme";"115 ans";1.000000
"1902";"Homme";"116 ans";1.000000
"1902";"Homme";"117 ans";1.000000
"1902";"Homme";"118 ans";1.000000
"1902";"Homme";"119 ans";1.000000
"1902";"Homme";"120 ans";1.000000
"1903";"Homme";"65 ans";0.028162
"1903";"Homme";"66 ans";0.030488
"1903";"Homme";"67 ans";0.034731
"1903";"Homme";"68 ans";0.036117
"1903";"Homme";"69 ans";0.039297
"1903";"Homme";"70 ans";0.040234
"1903";"Homme";"71 ans";0.045552
"1903";"Homme";"72 ans";0.047581
"1903";"Homme";"73 ans";0.050069
"1903";"Homme";"74 ans";0.057416
"1903";"Homme";"75 ans";0.058772
"1903";"Homme";"76 ans";0.066332
"1903";"Homme";"77 ans";0.075405
"1903";"Homme";"78 ans";0.077625
"1903";"Homme";"79 ans";0.084622
"1903";"Homme";"80 ans";0.090971
"1903";"Homme";"81 ans";0.095361
"1903";"Homme";"82 ans";0.108596
"1903";"Homme";"83 ans";0.109036
"1903";"Homme";"84 ans";0.124053
"1903";"Homme";"85 ans";0.140825
"1903";"Homme";"86 ans";0.165883
"1903";"Homme";"87 ans";0.158695
"1903";"Homme";"88 ans";0.178300
"1903";"Homme";"89 ans";0.174963
"1903";"Homme";"90 ans";0.202782
"1903";"Homme";"91 ans";0.234933
"1903";"Homme";"92 ans";0.244543
"1903";"Homme";"93 ans";0.262311
"1903";"Homme";"94 ans";0.291600
"1903";"Homme";"95 ans";0.263636
"1903";"Homme";"96 ans";0.298734
"1903";"Homme";"97 ans";0.306290
"1903";"Homme";"98 ans";0.330272
"1903";"Homme";"99 ans";0.407108
"1903";"Homme";"100 ans";0.312500
"1903";"Homme";"101 ans";0.454545
"1903";"Homme";"102 ans";0.400000
"1903";"Homme";"103 ans";0.393298
"1903";"Homme";"104 ans";0.496951
"1903";"Homme";"105 ans";0.400000
"1903";"Homme";"106 ans";0.333333
"1903";"Homme";"107 ans";0.500000
"1903";"Homme";"108 ans";0.000000
"1903";"Homme";"109 ans";0.000000
"1903";"Homme";"110 ans";0.000000
"1903";"Homme";"111 ans";1.000000
"1903";"Homme";"112 ans";1.000000
"1903";"Homme";"113 ans";1.000000
"1903";"Homme";"114 ans";1.000000
"1903";"Homme";"115 ans";1.000000
"1903";"Homme";"116 ans";1.000000
"1903";"Homme";"117 ans";1.000000
"1903";"Homme";"118 ans";1.000000
"1903";"Homme";"119 ans";1.000000
